序號,分類,場景,單字或片語,詞性縮寫,詞性,IPA音標,中文意思,例句,來源
51,生活常用英語單字,食物,cheese,n.,名詞,/tʃiːz/,起司,This cheese pairs well with wine. (這個起司很適合配紅酒。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
52,生活常用英語單字,食物,milk,n.,名詞,/mɪlk/,牛奶,I add milk to my coffee. (我在咖啡裡加牛奶。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
53,生活常用英語單字,食物,egg,n.,名詞,/eɡ/,雞蛋,I eat two eggs for breakfast. (我早餐吃兩顆雞蛋。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
54,生活常用英語單字,食物,pasta,n.,名詞,/ˈpɑːstə/,義大利麵,Pasta is easy to cook for dinner. (義大利麵很容易當晚餐來煮。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
55,生活常用英語單字,食物,soup,n.,名詞,/suːp/,湯,Hot soup is perfect for cold weather. (熱湯很適合寒冷的天氣。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
56,生活常用英語單字,飲料,water,n.,名詞,/ˈwɔːtər/,水,Drinking enough water is essential for health. (喝足夠的水對健康很重要。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
57,生活常用英語單字,飲料,coffee,n.,名詞,/ˈkɔːfi/,咖啡,I need a cup of coffee to start my day. (我需要一杯咖啡來開始我的一天。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
58,生活常用英語單字,飲料,tea,n.,名詞,/tiː/,茶,Green tea has many health benefits. (綠茶有很多健康益處。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
59,生活常用英語單字,飲料,juice,n.,名詞,/dʒuːs/,果汁,Fresh orange juice is rich in vitamin C. (新鮮橘子汁富含維生素C。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
60,生活常用英語單字,飲料,soda,n.,名詞,/ˈsoʊdə/,汽水,I try to avoid drinking soda because of sugar. (我盡量避免喝汽水因為糖分太多。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
61,生活常用英語單字,飲料,beer,n.,名詞,/bɪr/,啤酒,He ordered a cold beer with dinner. (他點了一杯冰啤酒配晚餐。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
62,生活常用英語單字,飲料,wine,n.,名詞,/waɪn/,紅酒,Red wine goes well with steak. (紅酒很適合配牛排。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
63,生活常用英語單字,飲料,smoothie,n.,名詞,/ˈsmuːði/,果昔,I made a banana smoothie for breakfast. (我做了香蕉果昔當早餐。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
64,生活常用英語單字,飲料,milkshake,n.,名詞,/ˈmɪlkʃeɪk/,奶昔,The chocolate milkshake was delicious. (巧克力奶昔很好喝。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
65,生活常用英語單字,飲料,lemonade,n.,名詞,/ˌleməˈneɪd/,檸檬水,Fresh lemonade is perfect for summer. (新鮮檸檬水很適合夏天。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
66,生活常用英語單字,家中常用物品,bed,n.,名詞,/bed/,床,I need to make my bed every morning. (我每天早上需要整理床鋪。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
67,生活常用英語單字,家中常用物品,chair,n.,名詞,/tʃer/,椅子,This chair is very comfortable. (這張椅子很舒服。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
68,生活常用英語單字,家中常用物品,table,n.,名詞,/ˈteɪbəl/,桌子,Please put the book on the table. (請把書放在桌子上。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
69,生活常用英語單字,家中常用物品,sofa,n.,名詞,/ˈsoʊfə/,沙發,We watch TV on the sofa every evening. (我們每天晚上在沙發上看電視。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
70,生活常用英語單字,家中常用物品,television,n.,名詞,/ˈtelɪvɪʒən/,電視,The television in the living room is very large. (客廳的電視很大。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
71,生活常用英語單字,家中常用物品,refrigerator,n.,名詞,/rɪˈfrɪdʒəreɪtər/,冰箱,I keep vegetables in the refrigerator. (我把蔬菜放在冰箱裡。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
72,生活常用英語單字,家中常用物品,stove,n.,名詞,/stoʊv/,爐子,I cook pasta on the gas stove. (我在瓦斯爐上煮義大利麵。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
73,生活常用英語單字,家中常用物品,microwave,n.,名詞,/ˈmaɪkrəweɪv/,微波爐,I heat my lunch in the microwave. (我用微波爐加熱午餐。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
74,生活常用英語單字,家中常用物品,shower,n.,名詞,/ˈʃaʊər/,淋浴間,The shower water is too hot. (淋浴的水太熱了。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
75,生活常用英語單字,家中常用物品,toilet,n.,名詞,/ˈtɔɪlət/,馬桶,Don't forget to clean the toilet. (別忘了清潔馬桶。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
76,生活常用英語單字,家中常用物品,mirror,n.,名詞,/ˈmɪrər/,鏡子,I check my appearance in the mirror. (我在鏡子前檢查我的外表。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
77,生活常用英語單字,家中常用物品,towel,n.,名詞,/ˈtaʊəl/,毛巾,I use a clean towel after shower. (洗澡後我用乾淨毛巾。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
78,生活常用英語單字,家中常用物品,pillow,n.,名詞,/ˈpɪloʊ/,枕頭,I need two pillows to sleep comfortably. (我需要兩個枕頭才能睡得舒服。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
79,生活常用英語單字,家中常用物品,blanket,n.,名詞,/ˈblæŋkət/,毯子,This blanket keeps me warm at night. (這條毯子讓我晚上保持溫暖。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
80,生活常用英語單字,家中常用物品,lamp,n.,名詞,/læmp/,檯燈,I read books under the lamp. (我在檯燈下看書。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
81,生活常用英語單字,家中常用物品,window,n.,名詞,/ˈwɪndoʊ/,窗戶,Please open the window for fresh air. (請打開窗戶讓新鮮空氣進來。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
82,生活常用英語單字,家中常用物品,door,n.,名詞,/dɔːr/,門,Don't forget to lock the door. (別忘了鎖門。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
83,生活常用英語單字,家中常用物品,key,n.,名詞,/kiː/,鑰匙,I lost my house key yesterday. (我昨天弄丟了房子鑰匙。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
84,生活常用英語單字,家中常用物品,phone,n.,名詞,/foʊn/,電話,My phone battery is almost dead. (我的手機電池快沒電了。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
85,生活常用英語單字,家中常用物品,computer,n.,名詞,/kəmˈpjuːtər/,電腦,I use my computer for work. (我用電腦工作。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
86,生活常用英語單字,緊急用品,medicine,n.,名詞,/ˈmedɪsən/,藥物,I need to take my medicine twice a day. (我需要一天吃兩次藥。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
87,生活常用英語單字,緊急用品,bandage,n.,名詞,/ˈbændɪdʒ/,繃帶,Put a bandage on the cut. (在傷口上貼繃帶。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
88,生活常用英語單字,緊急用品,hospital,n.,名詞,/ˈhɑːspɪtəl/,醫院,He was rushed to the hospital. (他被緊急送往醫院。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
89,生活常用英語單字,緊急用品,doctor,n.,名詞,/ˈdɑːktər/,醫生,I have an appointment with the doctor. (我跟醫生有預約。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
90,生活常用英語單字,緊急用品,ambulance,n.,名詞,/ˈæmbjələns/,救護車,Call an ambulance immediately! (立刻叫救護車！),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
91,生活常用英語單字,緊急用品,pharmacy,n.,名詞,/ˈfɑːrməsi/,藥局,I need to go to the pharmacy to buy medicine. (我需要去藥局買藥。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
92,生活常用英語單字,緊急用品,thermometer,n.,名詞,/θərˈmɑːmɪtər/,溫度計,Use the thermometer to check your fever. (用溫度計檢查你的發燒。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
93,生活常用英語單字,緊急用品,prescription,n.,名詞,/prɪˈskrɪpʃən/,處方籤,I need a prescription from the doctor. (我需要醫生的處方籤。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
94,生活常用英語單字,緊急用品,emergency,n.,名詞,/ɪˈmɜːrdʒənsi/,緊急事件,Call 911 in case of emergency. (緊急情況請撥打911。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
95,生活常用英語單字,緊急用品,first aid,n.,名詞,/fɜːrst eɪd/,急救,I learned first aid in school. (我在學校學過急救。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
96,生活常用英語單字,天氣,sunny,adj.,形容詞,/ˈsʌni/,晴朗的,It's a sunny day today. (今天是晴朗的一天。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
97,生活常用英語單字,天氣,cloudy,adj.,形容詞,/ˈklaʊdi/,多雲的,The sky looks cloudy this morning. (今天早上天空看起來多雲。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
98,生活常用英語單字,天氣,rainy,adj.,形容詞,/ˈreɪni/,下雨的,I don't like rainy weather. (我不喜歡下雨天。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
99,生活常用英語單字,天氣,snowy,adj.,形容詞,/ˈsnoʊi/,下雪的,Snowy days are beautiful but cold. (雪天很美但很冷。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
100,生活常用英語單字,天氣,windy,adj.,形容詞,/ˈwɪndi/,有風的,It's quite windy outside today. (今天外面風很大。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
101,生活常用英語單字,天氣,hot,adj.,形容詞,/hɑːt/,炎熱的,Summer days can be very hot. (夏天可能會很炎熱。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
102,生活常用英語單字,天氣,cold,adj.,形容詞,/koʊld/,寒冷的,Winter nights are cold. (冬天的夜晚很寒冷。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
103,生活常用英語單字,天氣,warm,adj.,形容詞,/wɔːrm/,溫暖的,Spring weather is usually warm. (春天的天氣通常很溫暖。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
104,生活常用英語單字,天氣,cool,adj.,形容詞,/kuːl/,涼爽的,Autumn evenings are cool and pleasant. (秋天的傍晚涼爽宜人。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
105,生活常用英語單字,天氣,temperature,adj.,形容詞,/ˈtemprətʃər/,溫度,The temperature today is 25 degrees. (今天的溫度是25度。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
106,生活常用英語單字,交通,car,n.,名詞,/kɑːr/,汽車,I drive my car to work every day. (我每天開車上班。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
107,生活常用英語單字,交通,bus,n.,名詞,/bʌs/,公車,The bus arrives at 8:30 AM. (公車在早上8點30分到達。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
108,生活常用英語單字,交通,train,n.,名詞,/treɪn/,火車,I take the train to visit my parents. (我搭火車去看我父母。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
109,生活常用英語單字,交通,subway,n.,名詞,/ˈsʌbweɪ/,地鐵,The subway is faster during rush hour. (尖峰時間地鐵比較快。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
110,生活常用英語單字,交通,taxi,n.,名詞,/ˈtæksi/,計程車,I called a taxi to the airport. (我叫了計程車去機場。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
111,生活常用英語單字,交通,bicycle,n.,名詞,/ˈbaɪsɪkəl/,腳踏車,I ride my bicycle to the park. (我騎腳踏車去公園。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
112,生活常用英語單字,交通,motorcycle,n.,名詞,/ˈmoʊtərsaɪkəl/,機車,He rides a motorcycle to work. (他騎機車上班。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
113,生活常用英語單字,交通,airplane,n.,名詞,/ˈerplen/,飛機,The airplane will take off at 3 PM. (飛機將在下午3點起飛。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
114,生活常用英語單字,交通,airport,n.,名詞,/ˈerpɔːrt/,機場,I need to be at the airport two hours early. (我需要提前兩小時到機場。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
115,生活常用英語單字,交通,station,n.,名詞,/ˈsteɪʃən/,車站,The train station is very busy. (火車站很繁忙。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
116,生活常用英語單字,交通,traffic,n.,名詞,/ˈtræfɪk/,交通,Traffic is heavy during rush hour. (尖峰時間交通很繁忙。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
117,生活常用英語單字,交通,ticket,n.,名詞,/ˈtɪkət/,車票,I bought a round-trip ticket. (我買了來回票。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
118,生活常用英語單字,交通,road,n.,名詞,/roʊd/,道路,This road leads to the city center. (這條道路通往市中心。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
119,生活常用英語單字,交通,street,n.,名詞,/striːt/,街道,My house is on Main Street. (我家在主街上。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
120,生活常用英語單字,交通,bridge,n.,名詞,/brɪdʒ/,橋樑,We crossed the bridge to get to the other side. (我們過橋到對岸。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
121,生活常用英語單字,工作,job,n.,名詞,/dʒɑːb/,工作,I love my job as a teacher. (我喜歡我當老師的工作。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
122,生活常用英語單字,工作,office,n.,名詞,/ˈɔːfɪs/,辦公室,I work in an office downtown. (我在市區的辦公室工作。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
123,生活常用英語單字,工作,meeting,n.,名詞,/ˈmiːtɪŋ/,會議,We have a meeting at 3 PM today. (我們今天下午3點有會議。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
124,生活常用英語單字,工作,computer,n.,名詞,/kəmˈpjuːtər/,電腦,I use my computer for most of my work. (我大部分工作都用電腦。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
125,生活常用英語單字,工作,email,n.,名詞,/ˈiːmeɪl/,電子郵件,I check my email every morning. (我每天早上檢查電子郵件。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
126,生活常用英語單字,工作,boss,n.,名詞,/bɔːs/,老闆,My boss is very understanding. (我的老闆很體諒人。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
127,生活常用英語單字,工作,colleague,n.,名詞,/ˈkɑːliːɡ/,同事,I have lunch with my colleagues every Friday. (我每個星期五和同事一起吃午餐。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
128,生活常用英語單字,工作,salary,n.,名詞,/ˈsæləri/,薪水,My salary covers all my basic needs. (我的薪水足以負擔基本需求。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
129,生活常用英語單字,工作,project,n.,名詞,/ˈprɑːdʒekt/,專案,We're working on an important project. (我們正在進行一個重要專案。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
130,生活常用英語單字,工作,deadline,n.,名詞,/ˈdedlaɪn/,截止日期,The deadline for this report is Monday. (這份報告的截止日期是星期一。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
131,生活常用英語單字,工作,interview,n.,名詞,/ˈɪntərvjuː/,面試,I have a job interview tomorrow. (我明天有工作面試。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
132,生活常用英語單字,工作,resume,n.,名詞,/rɪˈzuːmeɪ/,履歷,I need to update my resume. (我需要更新我的履歷。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
133,生活常用英語單字,工作,schedule,n.,名詞,/ˈskedʒuːl/,行程,My schedule is very busy this week. (我這週的行程很忙。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
134,生活常用英語單字,工作,break,n.,名詞,/breɪk/,休息,I take a 15-minute break every two hours. (我每兩小時休息15分鐘。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
135,生活常用英語單字,工作,overtime,n.,名詞,/ˈoʊvərtaɪm/,加班,I worked overtime to finish the project. (我加班完成專案。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
136,生活常用英語單字,服裝,shirt,n.,名詞,/ʃɜːrt/,襯衫,I wear a white shirt to work. (我穿白襯衫上班。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
137,生活常用英語單字,服裝,pants,n.,名詞,/pænts/,長褲,These pants are very comfortable. (這條褲子很舒服。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
138,生活常用英語單字,服裝,dress,n.,名詞,/dres/,洋裝,She wore a beautiful dress to the party. (她穿了一件漂亮洋裝去派對。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
139,生活常用英語單字,服裝,shoes,n.,名詞,/ʃuːz/,鞋子,I need new running shoes. (我需要新的跑鞋。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
140,生活常用英語單字,服裝,socks,n.,名詞,/sɑːks/,襪子,My socks don't match today. (我今天的襪子不成對。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
141,生活常用英語單字,服裝,jacket,n.,名詞,/ˈdʒækət/,外套,"It's cold, so I'm wearing a jacket. (天氣冷，所以我穿外套。)",https://prepedu.com/zh-hant/blog/daily-english-vocabulary
